ST_CODE;PC_CODE; constituency_correct_name; constituency_alternative_name_daksh
S18;6;Baleshwar;Balasore
S06;20;Vadodara;Baroda
S25;15;Barakpur;Barrackpore
S24;78;"Sant Ravi Das Nagar (Bhadohi)";Bhadohi
S06;22;Bharuch;Broach
S25;39;Barddhaman - Durgapur;Burdwan
S25;23;Kolkata Dakshin;Calcutta South
S01;38;Kadapa;Cuddapah
U01;1;Daman & Diu;Daman And Diu
S13;12;Garhchiroli - Chimur;Gadchiroli-Chimur
S03;7;"Guwahati";Gauhati
S25;28;Hugli;Hooghly
S24;47;Hamirpur;Hamirpur
S25;25;Haora;Howrah
S20;10;Karauli - Dhaulpur;Karauli-Dholpur
S18;4;Kendujhar;Keonjhar
S06;1;Kachchh;Kutch
S22;4;Chennai Central;Madras Central
S22;2;"Chennai North";Madras North
S22;3;"Chennai South";Madras South
S03;10;Nagaon;Nowgong
S11;8;Palakkad;Palghat
U07;1;Puducherry;Pondicherry
S04;20;Saran (Chhapra);Saran
S25;27;Shrirampur;Serampore
S11;10;Thrissur;Trichur
S10;15;Udupi Chikmagalur;UDUPI - CHIKKAMAGALORE
